OP;                                                                  CPU; GPU; HPU; COMPOUND; DI_DE; MISSING; TERT; IN_TOPOS; COUNT; TOPOS_LIST
aten::linalg_vecdot;                                                 NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::linalg_vecdot.out;                                             NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::linalg_vector_norm;                                            YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::linalg_vector_norm.out;                                        YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::linear;                                                        NO;  NO;  YES; NO;       DT_DT; NO;      YES;  YES;         15; alexnet, densenet161, dlrm_a, dlrm_github, googlenet, inception_v3, mnasnet1_0, mobilenet_v2, r3d_18, resnet18, resnet50, resnext50_32x4d, shufflenet_v2_x1_0, vgg16, wide_resnet50_2
aten::linear.out;                                                    NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::linear_backward;                                               NO;  NO;  YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::linear_backward.out;                                           NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::linspace;                                                      NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::linspace.Scalar_Tensor;                                        NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::linspace.Scalar_Tensor_out;                                    NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::linspace.Tensor_Scalar;                                        NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::linspace.Tensor_Scalar_out;                                    NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::linspace.Tensor_Tensor;                                        NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::linspace.Tensor_Tensor_out;                                    NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::linspace.out;                                                  YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::log;                                                           YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::log.out;                                                       YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::log10;                                                         YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::log10.out;                                                     YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::log10_;                                                        YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::log1p;                                                         YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::log1p.out;                                                     YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::log1p_;                                                        YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::log2;                                                          YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::log2.out;                                                      YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::log2_;                                                         YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::log_;                                                          YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::log_normal;                                                    NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::log_normal.out;                                                NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::log_normal_;                                                   YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::log_sigmoid;                                                   NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::log_sigmoid.out;                                               NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::log_sigmoid_backward;                                          YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::log_sigmoid_backward.grad_input;                               YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
